region_id,region_nombre,comuna_id,comuna_nombre,total_votos_1era,votos_boric,votos_kast,votos_artes,votos_parisi,votos_meo,votos_sichel,votos_provoste,opcion,n_votos_pleb,total_votos_pleb,voto_apruebo,voto_rechazo,participacion,dif_1era_pleb
3007,DEL MAULE,2614,CUREPTO,4129,887,1062,35,385,191,630,842,APRUEBO,2793,3560,2793,,.34190559,569
3007,DEL MAULE,2625,CURICO,58474,12532,17171,651,7880,4627,7992,6936,APRUEBO,48391,63015,48391,,.53702581,-4541
3010,DE LOS LAGOS,2720,DALCAHUE,4022,919,1086,67,796,259,488,709,APRUEBO,3344,4012,3344,,.32549465,10
3003,DE ATACAMA,2521,DIEGO DE ALMAGRO,4694,1085,561,73,1486,244,192,987,APRUEBO,4886,5410,4886,,.40185803,-716
3006,DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,2583,DOÑIHUE,8829,2293,1975,93,1477,760,1085,1009,APRUEBO,7987,9423,7987,,.52170545,-594
3013,METROPOLITANA DE SANTIAGO,2762,EL BOSQUE,61230,18771,13458,1207,6210,7744,6539,7127,APRUEBO,64391,75831,64391,,.54484141,-14601
3016,DE ÑUBLE,2829,EL CARMEN,5168,567,2331,25,395,209,649,926,APRUEBO,2390,3774,2390,,.30617705,1394
3013,METROPOLITANA DE SANTIAGO,2806,EL MONTE,13565,3596,3130,204,1890,1289,1458,1764,APRUEBO,12605,15075,12605,,.54683053,-1510
3005,DE VALPARAISO,2566,EL QUISCO,7824,2406,2027,123,889,663,1022,815,APRUEBO,5767,7241,5767,,.5600124,583
3005,DE VALPARAISO,2567,EL TABO,7145,2224,1791,141,535,759,799,840,APRUEBO,4675,5842,4675,,.56650817,1303
3007,DEL MAULE,2615,EMPEDRADO,1842,183,855,6,300,94,192,235,APRUEBO,821,1513,821,,.34725729,329
3009,DE LA ARAUCANIA,2699,ERCILLA,2972,485,1490,50,179,182,211,322,APRUEBO,1521,2593,1521,,.32141972,379
3013,METROPOLITANA DE SANTIAGO,2763,ESTACION CENTRAL,52702,18230,12049,1163,3632,5491,6345,5736,APRUEBO,52728,62940,52728,,.49003628,-10238
3008,DEL BIOBIO,2645,FLORIDA,4739,623,1562,55,675,317,606,804,APRUEBO,2612,3757,2612,,.36566365,982
3009,DE LA ARAUCANIA,2679,FREIRE,9715,1381,3630,126,950,571,911,1630,APRUEBO,5198,7670,5198,,.3319566,2045
3003,DE ATACAMA,2524,FREIRINA,2664,425,305,22,512,69,135,1168,APRUEBO,2465,2701,2465,,.45787421,-37
3010,DE LOS LAGOS,2710,FRESIA,5299,838,2052,44,491,211,458,1178,APRUEBO,3166,4683,3166,,.38604307,616
3010,DE LOS LAGOS,2711,FRUTILLAR,8483,1351,3260,60,1208,375,786,1329,APRUEBO,5185,7908,5185,,.48168051,575
3010,DE LOS LAGOS,2734,FUTALEUFU,1077,208,435,15,60,34,150,155,APRUEBO,630,965,630,,.25434896,112
3014,DE LOS RIOS,2819,FUTRONO,6628,1008,2803,74,806,244,692,902,APRUEBO,3484,5732,3484,,.39649561,896
